0.33206,0.47478,0.57464,0.95903,1.2002,1.5416,1.9135
0.19867,0.20699,0.21519,0.36057,0.3452,0.30642,0.44668
0.15378,0.18985,0.15568,0.4567,0.18892,0.067597,0.31241
0.35964,0.091866,0.16766,0.27365,0.23196,0.20276,0.3919
0.24764,0.018599,0.13776,0.067597,0.23227,0.10083,0.19498
0.06616,0.16577,0.26398,0.095021,0.31815,0.20849,0.082262
0.026876,0.098007,0.17754,0.071623,0.12587,0.333,0.47639
0.11868,0.13588,0.01723,0.16268,0.22706,0.34893,0.12163
0.27548,0.18948,0.31169,0.25151,0.22241,0.22233,0.28832
0.16307,0.13268,0.2173,0.070361,0.12292,0.11894,0.10885
0.12087,0.1131,0.29455,0.16982,0.16143,0.070569,0.22596
0.10718,0.31174,0.2853,0.34539,0.095829,0.14083,0.11476
0.26705,0.22846,0.17946,0.089953,0.14956,0.37734,0.40904
0.58613,0.17844,0.1006,0.17698,0.19287,0.3918,0.35084
0.22122,0.094673,0.022099,0.21695,0.092031,0.22084,0.43996
0.27301,0.35521,0.2942,0.28136,0.2025,0.046309,0.13379
0.25194,0.17712,0.30049,0.10808,0.28138,0.37378,0.71751
0.28805,0.18182,0.17027,0.22406,0.12036,0.30453,0.43246
0.35866,0.3509,0.38635,0.30846,0.37994,0.32651,0.29157
0.35763,0.16529,0.044196,0.088813,0.25308,0.11292,0.044599
0.22631,0.039331,0.10025,0.20365,0.20957,0.44332,0.47173
0.21762,0.20314,0.19902,0.050151,0.15164,0.24663,0.22925
0.34701,0.1781,0.10638,0.17,0.17758,0.25749,0.24611
0.057523,0.16617,0.084249,0.14865,0.27862,0.4113,0.53904
0.032051,0.13926,0.14887,0.076076,0.037687,0.34457,0.31359
0.13952,0.067361,0.024071,0.083969,0.38947,0.27767,0.35538
